ignore;_value;gdzie;kto;location;source;timestamp;target
13;-87.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:04:21.000003600;bathroom_g
14;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:05:21.000003600;bathroom_g
15;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:06:21.000003600;bathroom_g
16;-89.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:07:21.000003600;bathroom_g
17;-87.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:08:22.000003600;bathroom_g
18;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:09:21.000003600;bathroom_g
19;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:10:20.000003600;bathroom_g
20;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:11:21.000003600;bathroom_g
21;-84.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:12:21.000003600;bathroom_g
22;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:13:21.000003600;bathroom_g
23;-87.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:14:20.000003600;bathroom_g
24;-87.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:15:21.000003600;bathroom_g
25;-85.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:16:20.000003600;bathroom_g
26;-85.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:17:22.000003600;bathroom_g
27;-89.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:18:19.000003600;bathroom_g
28;-87.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:19:21.000003600;bathroom_g
29;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:20:21.000003600;bathroom_g
0;-87.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:51:41.000003600;bathroom_g
1;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:52:40.000003600;bathroom_g
2;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:53:40.000003600;bathroom_g
3;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:54:41.000003600;bathroom_g
4;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:55:46.000003600;bathroom_g
5;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:56:47.000003600;bathroom_g
6;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:57:44.000003600;bathroom_g
7;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:58:40.000003600;bathroom_g
8;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 16:59:40.000003600;bathroom_g
9;-90.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:00:47.000003600;bathroom_g
10;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:01:41.000003600;bathroom_g
11;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:02:40.000003600;bathroom_g
12;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:03:41.000003600;bathroom_g
13;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:04:40.000003600;bathroom_g
14;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:05:44.000003600;bathroom_g
15;-88.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:06:44.000003600;bathroom_g
16;-92.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:07:40.000003600;bathroom_g
